SP_Hole_ID,From_Hole_Position,To_Hole_Position,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Fe_pct,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppm,Ho_ppm,In_ppm,K_pct,La_ppm,Lu_ppm,Match,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Nd_ppm,Ni_ppm,P_pct,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Si_pct,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
PH19RD7492,490.0,491.0,3.55200000,2.28299050,44.27500000,0.08200000,101.50700000,3.58700000,1.80337330,0.26700000,292.34700000,18.83300000,46.51500000,29.91400000,1741.98800000,5.52200000,3.10500000,2.46500000,18.09108010,-29.39000000,6.99100000,4.74800000,3.39700000,0.03800000,1.06300000,0.36000000,0.41112740,700.66500000,0.39000000,0.98792329,0.88336220,1074.67900000,2.45500000,0.36265930,2.50900000,32.67000000,581.70100000,0.05695020,18.06800000,9.66900000,73.12400000,0.01900000,0.36367540,18.68800000,2.78200000,4.04800000,15.85301000,9.59400000,25.91400000,15.98500000,0.54100000,1.01400000,4.16100000,16.19500000,1442.38300000,0.64600000,347.89100000,46.74800000,-151.05200000,24.58400000,6.89500000,112.41300000,-47.18800000,39.84700000
PH19RD7492,494.0,495.0,2.44087500,2.67790133,55.82912500,0.09237500,354.84500000,2.09112500,1.29710155,0.27437500,440.43512500,35.94787500,43.49475000,31.54837500,2924.64625000,5.50275000,2.89812500,2.42887500,23.61584908,-56.15450000,6.76475000,5.13487500,4.65462500,0.15225000,1.06625000,0.33387500,0.58968378,589.24050000,0.41025000,0.95197865,2.14782945,2803.99162500,3.98425000,0.12058467,2.18450000,66.37837500,317.07512500,0.04357211,18.32187500,16.95562500,171.59625000,0.01550000,0.29198952,15.97300000,5.02300000,6.53800000,11.05434313,8.31875000,18.78962500,18.21787500,1.41287500,0.93475000,2.27137500,16.51425000,3789.22425000,0.86350000,347.89100000,21.71712500,-115.50100000,24.78787500,12.25800000,41.80162500,-22.10350000,55.39050000
PH19RD7492,495.0,496.0,0.64400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH19RD7492,496.0,497.0,5.00500000,7.88350565,75.24200000,0.20066666,237.69366666,3.03666666,1.02820323,0.24200000,287.53466666,19.24666666,44.11300000,30.32433333,366.10433333,5.63600000,2.41633333,2.16766666,7.70899806,10.41900000,7.58600000,4.67733333,5.10766666,0.28733333,1.10000000,0.25300000,3.58767756,173.17700000,0.38966666,0.98982449,1.67412310,1093.59666666,6.62966666,0.02922170,15.34700000,42.34733333,661.28666666,0.05263710,20.14066666,16.14433333,128.31900000,0.01333333,0.02117090,12.84933333,21.09800000,3.74266666,18.96894465,7.62366666,11.73366666,18.83566666,1.23533333,0.70200000,0.37066666,11.60366666,6552.27300000,0.35733333,183.25566666,39.29066666,82.28166666,24.23466666,57.41433333,23.06366666,14.92500000,181.38300000
PH19RD7492,497.0,498.0,1.25600000,6.09241503,26.70100000,0.14566666,212.81066666,2.37400000,1.10218603,0.23033333,289.37733333,15.91433333,29.96166666,38.08000000,244.82933333,5.49633333,3.03833333,2.47800000,16.47187450,-13.29733333,6.78900000,4.87566666,4.87266666,0.02700000,1.08566666,0.24133333,3.30647263,379.63800000,0.37866666,0.98466830,2.39201780,2829.00666666,2.89333333,0.02922170,10.17100000,40.87800000,392.10900000,0.04231676,17.49633333,18.60633333,170.83600000,0.00666666,0.00791370,16.44100000,13.40100000,5.89133333,11.94064266,8.67533333,20.86900000,18.69433333,1.36066666,0.96666666,4.33833333,16.92866666,7797.34066666,1.19800000,347.89100000,42.37233333,22.17633333,25.70066666,30.65566666,92.05866666,-5.67033333,151.18300000
PH19RD7492,499.0,500.0,0.29250000,7.64128315,8.22250000,0.06950000,169.00250000,1.39050000,0.83443135,0.30700000,471.92800000,26.33150000,152.32450000,33.86600000,436.78350000,5.58500000,2.70850000,2.12200000,9.53106810,14.51950000,7.27500000,5.43100000,5.41350000,0.42150000,1.09050000,0.24250000,4.51633405,330.87750000,0.39000000,0.94783710,1.20536625,1000.20750000,4.77900000,0.09316515,15.09200000,76.11500000,798.90300000,0.05661860,20.98700000,26.65000000,180.22950000,0.01050000,0.02328475,7.45350000,25.53300000,3.97950000,15.39956925,9.44750000,6.83750000,17.49950000,2.25250000,0.76800000,0.23900000,13.11300000,9134.43050000,1.11050000,224.41450000,44.32150000,111.68500000,22.28000000,34.70400000,164.47400000,6.91750000,169.28450000
PH19RD7492,500.0,501.0,1.55600000,5.72141180,16.91900000,0.07300000,237.11833333,1.83233333,0.91745263,0.26633333,455.66866666,31.91333333,51.33700000,32.38200000,284.30733333,5.57966666,2.89866666,2.47033333,18.51636683,-19.55900000,6.89366666,4.76000000,5.07666666,0.37466666,1.10033333,0.25366666,3.01532783,531.08733333,0.42300000,0.96278596,1.77227310,997.21533333,16.69766666,0.02922170,9.43200000,56.94266666,634.67200000,0.00598625,23.92566666,20.67933333,197.71533333,0.02666666,-0.02390585,14.26500000,8.60650000,5.78266666,11.05301740,9.46733333,12.24666666,16.29866666,1.27033333,0.93066666,2.15100000,19.67400000,5528.88500000,0.43533333,347.89100000,41.63233333,13.52366666,26.92966666,17.36900000,77.49366666,0.32500000,135.44566666
PH19RD7492,501.0,502.0,0.81166666,7.87979112,23.37800000,0.13933333,396.06183333,3.00900000,0.75454265,0.26350000,516.95633333,20.91050000,54.82200000,32.36466666,369.22583333,5.70133333,2.64733333,2.32683333,8.67945886,16.16516666,6.80700000,4.91816666,4.73500000,0.47466666,1.11416666,0.24400000,5.13560615,308.69866666,0.38983333,0.98018766,1.62496606,1096.84616666,3.04983333,0.02928722,14.63066666,59.92950000,667.92750000,0.04710174,15.36383333,23.47516666,197.06133333,0.01250000,-0.01649770,10.16233333,22.77000000,5.40916666,19.12506990,8.56066666,7.74333333,21.04383333,2.11283333,0.85266666,2.75816666,14.53566666,8986.62583333,0.55666666,306.73216666,39.92183333,159.69883333,29.04050000,28.82283333,84.62166666,2.80066666,190.43233333
PH19RD7492,502.0,503.0,0.50700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH19RD7492,505.0,506.0,0.52283333,7.66751647,13.15366666,0.08233333,346.80783333,1.92166666,0.95791898,0.28550000,450.90766666,19.43083333,59.90685714,32.93100000,483.94283333,5.60683333,2.37250000,1.50033333,7.36389203,7.83883333,6.61233333,4.93200000,4.87400000,0.36466666,1.06133333,0.24500000,4.09120753,348.68983333,0.38966666,0.97326876,1.21247477,452.00733333,3.51033333,0.02764398,12.43950000,43.25816666,759.78366666,0.09222135,13.72083333,19.79633333,168.60533333,0.00966666,-0.01309288,9.05800000,16.76314285,3.94716666,25.40475008,7.70866666,5.59500000,19.19816666,2.02033333,0.71166666,4.16633333,13.46766666,6357.54100000,0.77650000,224.38250000,37.12916666,73.68466666,27.49683333,19.84050000,93.36966666,5.09750000,170.06816666
