SP_Hole_ID,From_Hole_Position,To_Hole_Position,Ag_ppm,Al_pct,As_ppm,Ba_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Fe_pct,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppm,Ho_ppm,In_ppm,K_pct,La_ppm,Lu_ppm,Match,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Nd_ppm,Ni_ppm,P_pct,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Si_pct,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
DD17TUR017,210.0,211.0,0.85900000,4.92545916,68.06400000,22.71100000,0.12300000,2.87881123,2.69600000,80.77600000,46.98900000,43.19250000,5.37700000,1765.00000000,2.84300000,2.61100000,0.51300000,15.13739000,7.56200000,4.66600000,1.88400000,2.33200000,2.79700000,0.86400000,2.20100000,1.73008836,54.21800000,0.33700000,0.98583080,7.01990185,368.27600000,5.00800000,0.33643733,9.63700000,40.81100000,43.68800000,0.04511073,513.47200000,8.24100000,134.34300000,0.02400000,2.00225803,45.05000000,7.09033333,1.29200000,24.54994393,5.10100000,2.53700000,25.76900000,0.63300000,0.69000000,0.40000000,16.53200000,1112.30771428,2.51100000,0.22800000,10.10100000,95.53557142,3.82300000,20.26800000,2.07100000,1594.33000000,58.17300000
DD17TUR017,211.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD17TUR017,212.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD17TUR017,213.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD17TUR017,214.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD17TUR017,215.0,216.0,0.92900000,6.17568632,25.99750000,51.86600000,2.42900000,1.48058996,2.08550000,72.80250000,42.65350000,45.78880000,10.07900000,1133.67200000,3.61100000,2.39550000,0.88500000,10.10405000,9.37600000,8.26350000,2.04250000,2.18750000,2.05100000,0.87850000,1.01100000,2.81485944,25.85950000,0.33450000,0.97297468,4.31137126,405.33900000,27.07600000,0.85858146,10.62900000,41.04700000,34.41450000,0.05013582,25.17200000,6.94800000,166.00000000,0.01050000,1.11086130,13.45500000,6.77300000,8.93700000,27.66607254,4.69950000,1.86550000,5.87950000,0.40650000,0.65750000,0.26400000,8.92650000,1551.09728571,2.02700000,0.30750000,12.47950000,86.84614285,9.83950000,24.22000000,2.28100000,71.99400000,46.11000000
DD17TUR017,216.0,217.0,1.08657142,5.65452822,62.08914285,108.96614285,2.86200000,3.97925440,7.94514285,74.52100000,30.33000000,44.72020000,10.34785714,1780.47171428,3.65985714,2.53400000,0.59671428,10.45437428,6.92900000,6.35657142,2.78671428,2.31457142,1.08085714,0.71828571,1.31242857,1.17403756,47.62814285,0.34285714,0.97686683,5.20810494,611.82528571,9.69028571,1.81669646,9.20700000,40.29742857,41.03600000,0.05769910,239.83100000,7.48671428,114.71028571,0.01371428,1.81841142,42.27071428,4.39040000,3.54428571,21.41177322,5.48271428,2.01028571,80.70057142,0.53300000,0.69342857,0.23500000,7.73685714,842.71733333,0.98771428,0.28585714,10.16414285,82.14566666,3.58314285,17.55228571,2.27628571,1219.57357142,84.12757142
DD17TUR017,217.0,218.0,1.01390909,4.45423646,48.79518181,111.51790909,2.17600000,3.14630550,5.63500000,70.11945454,33.50881818,37.34390000,10.43536363,551.17945454,3.28918181,2.57645454,0.58400000,11.92404271,8.61618181,7.38581818,1.70881818,2.42690909,1.57718181,0.79281818,0.50354545,2.28163671,68.06472727,0.35463636,0.98112886,8.89646212,805.74754545,6.52445454,0.19952640,9.22627272,40.24827272,52.25236363,0.02729410,358.93072727,6.49709090,220.84936363,0.01309090,0.61218674,31.65272727,7.74680000,3.55600000,22.40503764,5.44336363,3.11181818,12.10300000,0.56009090,0.68118181,0.19063636,8.89072727,1416.01328571,1.10745454,0.30363636,10.21409090,82.28719047,4.18809090,22.79527272,2.15181818,885.68054545,58.60163636
DD17TUR017,218.0,219.0,1.10475000,5.09832473,43.34687500,338.67500000,2.14275000,1.60642285,1.25087500,67.33075000,31.38950000,43.58000000,9.55200000,837.01775000,3.10725000,2.46525000,0.57675000,11.91175210,10.55687500,6.95362500,1.40775000,2.38450000,2.43312500,0.90287500,0.20275000,3.26495641,94.93887500,0.34887500,0.97285398,8.17905766,733.21100000,7.50750000,0.13468100,10.15975000,39.64137500,49.57275000,0.02002566,269.41187500,6.48375000,270.65750000,0.01212500,1.24240248,21.60712500,8.44112500,7.16212500,21.15961096,4.63687500,2.44800000,6.35437500,0.60900000,0.68112500,0.25050000,7.87212500,1960.75062500,0.93062500,0.23762500,9.62262500,114.83237500,11.67212500,23.22362500,2.13450000,820.69387500,75.36875000
DD17TUR017,219.0,220.0,2.84070000,4.47780316,51.24410000,125.98580000,2.40470000,2.49679849,8.59810000,68.18560000,50.85040000,46.17270000,8.66650000,676.00190000,3.04520000,2.50580000,0.55740000,14.72840800,8.43320000,8.57020000,2.14900000,2.41560000,2.92020000,0.76040000,0.46560000,2.80316906,230.49810000,0.36340000,0.96993305,8.21728670,675.90920000,4.00670000,0.06645587,9.17090000,39.62690000,53.11800000,0.04724118,363.65510000,5.50220000,265.99240000,0.01530000,0.90278250,20.57220000,8.24090000,5.45020000,18.84986730,4.98050000,3.42660000,11.27930000,0.55740000,0.67560000,0.17530000,11.73700000,1853.01985000,1.01460000,0.24390000,33.37680000,97.49265000,7.89080000,36.60740000,2.07670000,502.09310000,68.31650000
